my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
43,Louisiana Tech,$0 ,$0 ,"$5,158,616 ","$703,428 ","$23,933,980 ","$5,697,724 ","$2,367,225 ",$0 ,"$430,680 ","$1,925,083 ","$1,763,632 ","$658,934 ","$295,006 ",$0 ,$0 ,"$604,528 ","$532,190 ","$1,623,962 ","$461,076 ","$366,257 ","$262,053 ","$672,323 ","$282,903 ","($261,094)","$128,360 "
44,"Louisiana, Lafayette",$0 ,$0 ,"$6,892,598 ","$368,366 ","$32,428,520 ","$6,643,259 ","$4,495,875 ","$760,045 ","$522,674 ","$2,159,995 ","$1,273,364 ","$1,912,301 ","$1,204,902 ",$0 ,$852 ,"$1,920,560 ","$1,696,637 ","$77,730 ","$876,576 ","$107,315 ","$453,289 ","$1,062,182 ",$0 ,"$82,086 ",$0 
45,"Louisiana, Monroe",$0 ,$0 ,"$3,839,696 ","$335,800 ",#NUM!,"$4,400,345 ","$2,000,153 ",$0 ,"$221,345 ","$1,259,019 ","$621,179 ","$752,314 ","$198,330 ",$0 ,$0 ,"$762,422 ","$415,623 ",$0 ,"$486,286 ","$169,440 ","$214,422 ","$219,973 ",$0 ,"($396,056)",$0 
46,Louisville,$0 ,$0 ,"$25,793,188 ","$2,589,229 ","$132,708,762 ","$14,792,057 ","$22,536,702 ","$7,986,325 ","$1,847,150 ","$5,942,594 ","$1,925,564 ","$7,015,772 ","$2,976,382 ",$0 ,"$588,285 ","$13,138,700 ","$8,798,492 ","$3,199,867 ","$1,176,255 ","$190,964 ","$1,703,375 ","$8,133,634 ","$1,564,170 ","$1,447,146 ","$810,057 "
47,LSU,$0 ,$0 ,"$26,501,120 ","$3,101,065 ","$137,451,520 ","$15,971,402 ","$20,460,817 ","$325,039 ","$2,661,602 ","$6,376,755 ","$3,908,350 ","$7,756,189 ","$1,133,002 ",$0 ,"$1,028,408 ","$13,455,276 ","$11,423,415 ",$0 ,"$967,368 ","$118,466 ","$1,270,132 ","$19,012,093 ","$1,524,401 ","$7,971,276 ","$456,620 "
48,Marshall,$0 ,$0 ,"$5,225,438 ","$568,250 ","$31,820,355 ","$7,118,520 ","$4,350,874 ","$71,989 ","$614,505 ","$3,477,723 ","$928,563 ","$1,242,361 ","$886,096 ","$123,980 ","$144,565 ","$745,114 ","$1,288,032 ","$1,066,678 ","$925,535 ","$376,916 ","$24,323 ","$1,704,860 ","$776,777 ","($1,208,202)","$159,256 "
49,Maryland,$0 ,$0 ,"$17,575,289 ","$1,298,007 ","$97,819,892 ","$16,691,196 ","$17,073,368 ","$305,068 ","$1,308,607 ","$6,666,503 ","$1,664,629 ","$2,671,905 ","$1,567,465 ",$0 ,"$257,461 ","$5,931,843 ","$13,621,082 ",$0 ,"$1,250,677 ","$171,263 ","$2,187,034 ","$7,578,495 ",$0 ,"$474,679 ",$0 
50,Massachusetts,$0 ,$0 ,"$6,515,645 ","$1,372,349 ","$46,438,521 ","$12,147,654 ","$5,662,390 ","$434,311 ","$1,089,759 ","$3,827,358 ","$1,268,147 ","$1,590,207 ","$611,950 ","$8,252 ","$61,052 ","$4,945,781 ","$1,351,173 ","$3,407,262 ","$425,895 ","$29,013 ","$439,651 ","$1,250,672 ",$0 ,"$1,643,263 ",$0 
51,Memphis,$0 ,$0 ,"$13,184,035 ","$1,630,175 ","$55,462,505 ","$9,766,283 ","$6,133,072 ","$405,280 ","$833,664 ","$3,867,555 ","$2,057,655 ","$4,016,402 ","$889,713 ",$0 ,"$131,542 ","$628,996 ","$2,319,831 ","$2,743,623 ","$1,041,564 ","$28,012 ","$999,210 ","$3,870,464 ","$543,554 ","($52,975)","$371,875 "
52,Miami (Ohio),$0 ,$0 ,"$7,319,989 ","$352,611 ","$37,127,174 ","$12,100,512 ","$5,054,002 ","$128,150 ","$830,375 ","$2,180,332 ","$1,100,010 ","$1,020,330 ","$618,317 ","$946,217 ","$74,693 ","$2,429,495 ","$276,285 ","$27,706 ","$589,495 ","$272,958 ","$537,329 ","$1,268,368 ",$0 ,"($354,586)",$0 
