"unitid","school_name","address","state","A01"
212577,"Franklin and Marshall College","College Ave, Lancaster, Pennsylvania","Pennsylvania",412696723
212601,"Gannon University","109 W Sixth St, Erie, Pennsylvania","Pennsylvania",82104000
212656,"Geneva College","3200 College Ave, Beaver Falls, Pennsylvania","Pennsylvania",43120273
212674,"Gettysburg College","300 N Washington St, Gettysburg, Pennsylvania","Pennsylvania",280994557
212771,"Gratz College","7605 Old York Rd, Melrose Park, Pennsylvania","Pennsylvania",5269382
212805,"Grove City College","100 Campus Dr, Grove City, Pennsylvania","Pennsylvania",146005665
212832,"Gwynedd Mercy University","1325 Sumneytown Pike, Gwynedd Valley, Pennsylvania","Pennsylvania",30001000
212869,"Harcum College","750 Montgomery Ave, Bryn Mawr, Pennsylvania","Pennsylvania",10785379
212911,"Haverford College","370  Lancaster Ave, Haverford, Pennsylvania","Pennsylvania",534092435
212975,"Commonwealth Technical Institute","727 Goucher St, Johnstown, Pennsylvania","Pennsylvania",0
212984,"Holy Family University","9801 Frankford Avenue, Philadelphia, Pennsylvania","Pennsylvania",20163494
213011,"Immaculata University","1145 King Road, Immaculata, Pennsylvania","Pennsylvania",18624368
213163,"UPMC Jameson School of Nursing","2414 Wilmington Road, New Castle, Pennsylvania","Pennsylvania",NA
213233,"Johnson College","3427 N Main Ave, Scranton, Pennsylvania","Pennsylvania",5202144
213251,"Juniata College","1700 Moore St, Huntingdon, Pennsylvania","Pennsylvania",105252103
213303,"Keystone College","One College Green, La Plume, Pennsylvania","Pennsylvania",10001681
213321,"King's College","133 N River St, Wilkes-Barre, Pennsylvania","Pennsylvania",84883962
213358,"La Roche University","9000 Babcock Blvd, Pittsburgh, Pennsylvania","Pennsylvania",6068411
213367,"La Salle University","1900 W Olney Ave, Philadelphia, Pennsylvania","Pennsylvania",89911244
213376,"Lackawanna College","501 Vine St, Scranton, Pennsylvania","Pennsylvania",10293968
213385,"Lafayette College","High St, Easton, Pennsylvania","Pennsylvania",889646000
213400,"Lancaster Bible College","901 Eden Rd, Lancaster, Pennsylvania","Pennsylvania",21224788
213446,"Lancaster Theological Seminary","555 W James St, Lancaster, Pennsylvania","Pennsylvania",21803907
213507,"Lebanon Valley College","101 N College Ave, Annville, Pennsylvania","Pennsylvania",74484293
