"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021"
157289,"University of Louisville","$0","$0","$24,184,172","$1,005,500","$109,320,333","$15,141,642","$18,152,603","$0","$320,340","$3,991,060","$8,002,504","$3,946,973","$1,173,415","$0","$370,573","$3,539,604","$3,909,684","$2,619,343","$2,550,878","$110,184","$2,195,734","$18,106,124","$0","($8,210,116)","$0"
159391,"Louisiana State University and Agricultural & Mechanical College","$0","$0","$32,407,822","$317,734","$131,515,453","$13,609,855","$26,772,011","$574,849","$610,013","$5,518,174","$3,568,767","$6,067,392","$764,692","$0","$420,152","$13,478,512","$7,490,942","$0","$5,089,783","$106,910","$3,588,685","$11,129,160","$0","($9,621,909)","$0"
237525,"Marshall University","$0","$0","$5,869,383","$575,000","$30,372,584","$7,448,079","$4,772,117","$700,370","$279,059","$2,107,391","$1,048,227","$691,838","$423,244","$534","$84,870","$1,150,012","$928,203","$960,731","$1,165,777","$345,898","$35,149","$1,296,050","$331,729","$27,979","$158,923"
163286,"University of Maryland-College Park","$0","$0","$20,963,623","$161,563","$81,831,650","$17,412,064","$15,816,105","$86,775","$421,739","$4,617,202","$3,100,413","$871,426","$631,780","$0","$51,306","$114,642","$10,107,161","$0","$1,925,120","$104,214","$2,508,330","$2,938,187","$0","($20,930,483)","$0"
166629,"University of Massachusetts-Amherst","$0","$0","$7,188,328","$22,000","$42,278,738","$12,184,320","$5,295,768","$254,242","$179,055","$1,798,720","$1,120,372","$576,071","$203,838","$1,602","$15,056","$6,485,860","$958,341","$3,624,832","$450,568","$75,163","$256,085","$1,588,517","$0","$524,844","$0"
220862,"University of Memphis","$0","$0","$11,105,677","$374,305","$47,141,329","$9,044,840","$6,598,819","$1,764,620","$211,497","$2,934,976","$2,321,771","$406,097","$373,190","$0","$146,266","$2,363,368","$866,214","$2,574,527","$1,224,399","$18,278","$969,647","$3,303,090","$298,864","$292,300","$240,884"
204024,"Miami University-Oxford","$0","$0","$6,559,814","$29,595","$30,036,336","$11,435,406","$4,863,087","$0","$71,676","$1,205,379","$1,011,738","$417,745","$55,619","$50,694","$24,846","$2,209,747","$439,055","$35,108","$175,860","$153,717","$425,186","$872,064","$0","$1,319,093","$0"
170976,"University of Michigan-Ann Arbor","$0","$0","$34,149,105","$280,000","$148,862,376","$27,913,057","$32,765,485","$839,583","$822,051","$5,677,442","$4,239,917","$1,140,734","$795,255","$0","$266,649","$17,404,380","$12,636,400","$0","$3,125,502","$151,306","$3,100,216","$3,555,294","$0","($47,626,307)","$0"
171100,"Michigan State University","$535,000","$0","$24,612,697","$329,520","$104,951,574","$16,717,761","$21,131,026","$67,821","$407,685","$3,677,857","$3,751,767","$1,130,916","$1,243,114","$49,714","$90,049","$15,082,831","$8,497,600","$1,557,193","$1,666,609","$134,384","$1,497,348","$2,770,682","$0","($15,422,279)","$0"
220978,"Middle Tennessee State University","$0","$0","$6,296,779","$50,607","$31,190,904","$8,650,479","$4,115,828","$0","$111,269","$2,493,143","$768,993","$543,540","$325,998","$0","$10,833","$1,280,777","$798,834","$1,854,509","$1,587,285","$55,106","$221,894","$2,025,030","$0","$0","$0"
174066,"University of Minnesota-Twin Cities","$0","$0","$22,988,232","$217,638","$103,821,135","$14,913,221","$18,046,562","$244,410","$377,191","$4,419,552","$2,247,315","$1,067,715","$500,893","$0","$521,044","$10,784,909","$11,900,717","$5,987,303","$5,851,475","$159,630","$2,387,824","$1,205,336","$168","($18,308,427)","$0"
176080,"Mississippi State University","$0","$0","$20,281,612","$677,666","$92,075,898","$10,024,972","$14,772,707","$691,686","$102,430","$4,324,945","$4,347,016","$3,820,084","$2,516,247","$199,247","$431,798","$13,559,666","$6,825,924","$0","$3,969,859","$46,798","$1,233,692","$3,720,442","$529,107","$20,814,517","$0"
178396,"University of Missouri-Columbia","$0","$0","$20,200,329","$509,772","$113,915,145","$12,284,541","$18,711,509","$1,341,347","$314,262","$5,182,764","$2,389,557","$2,289,877","$693,297","$103,949","$177,040","$28,306,200","$12,475,671","$0","$1,503,809","$99,644","$1,282,660","$5,765,815","$283,102","($3,457,001)","$0"
199193,"North Carolina State University at Raleigh","$0","$0","$18,680,547","$796,812","$78,215,264","$13,446,149","$16,151,808","$986,281","$225,333","$4,838,914","$2,859,727","$1,230,832","$539,988","$0","$264,272","$2,293,891","$4,546,607","$0","$3,850,163","$3,011,113","$800,074","$2,976,568","$579,427","$9,146","$136,758"
181464,"University of Nebraska-Lincoln","$0","$0","$22,385,907","$148,250","$104,087,284","$13,006,562","$25,056,329","$4,152,127","$400,482","$5,900,951","$4,546,323","$1,391,326","$419,323","$0","$380,583","$965,416","$11,667,026","$0","$6,052,552","$158,452","$3,675,881","$3,779,794","$0","($11,994,191)","$0"
182290,"University of Nevada-Reno","$0","$0","$6,963,691","$148,726","$34,799,540","$8,848,741","$5,459,658","$0","$230,954","$2,124,770","$1,463,375","$437,039","$87,739","$5,178","$28,881","$1,477,154","$2,571,699","$2,793,435","$601,262","$403,719","$842,157","$69,963","$216,399","$442,033","$25,000"
187985,"University of New Mexico-Main Campus","$0","$0","$7,742,643","$36,600","$35,284,244","$8,126,027","$6,556,920","$471,799","$99,474","$2,861,916","$660,732","$617,897","$30,851","$0","$33,271","$1,706,668","$786,205","$729,772","$192,000","$418,073","$473,748","$3,739,648","$0","$1,711,693","$0"
188030,"New Mexico State University-Main Campus","$0","$0","$5,581,971","$317,490","$25,482,825","$7,991,454","$3,525,495","$0","$30,795","$1,792,318","$774,788","$589,110","$163,391","$1,428","$92,972","$240,000","$1,514,875","$859,616","$781,898","$113,344","$403,306","$708,574","$0","$6,453","$0"
199120,"University of North Carolina at Chapel Hill","$0","$0","$21,478,863","$739,605","$101,916,048","$18,036,119","$17,710,689","$2,780,811","$465,072","$5,190,915","$3,881,102","$1,617,891","$58,070","$0","$306,903","$0","$10,032,606","$1,523,226","$4,196,376","$2,962,382","$1,760,017","$5,330,872","$1,123,870","($50,432)","$2,720,659"
227216,"University of North Texas","$0","$0","$8,068,788","$476,550","$43,975,838","$6,435,293","$6,951,167","$0","$125,557","$1,959,175","$1,154,953","$1,230,171","$424,451","$0","$100,000","$8,878,768","$5,171,066","$1,450,878","$415,847","$350,666","$366,034","$109,599","$182,465","$2,723,279","$124,410"
147703,"Northern Illinois University","$0","$0","$4,474,680","$0","$17,717,741","$6,475,148","$2,691,670","$0","$50,544","$1,089,337","$697,078","$19,134","$162,605","$10,881","$53,478","$309,928","$202,157","$283,235","$181,730","$115,865","$149,414","$750,857","$0","($592,237)","$0"
204857,"Ohio University-Main Campus","$0","$0","$5,512,431","$17,000","$26,434,522","$8,388,641","$3,364,672","$0","$98,582","$1,014,193","$473,012","$270,253","$413,334","$5,659","$0","$2,277,661","$972,212","#N/A","$570,878","$170,811","$181,406","$85,144","$0","($113,737)","$0"
204796,"Ohio State University-Main Campus","$0","$0","$36,371,292","$226,726","$170,552,320","$20,624,606","$31,437,418","$0","$578,953","$4,888,837","$5,016,658","$1,412,812","$64,995","$83,895","$71,414","$25,182,146","$23,676,967","$0","$2,313,462","$383,839","$5,593,859","$6,274,197","$3,201,818","($63,655,402)","$3,148,426"
